"","Subject","Group","Fluency_Item","Switch_Value","Switch_Method","domain","dimension","structure","alpha","method","param1","param2","param3","full_method","Cluster_Number","Switch","Switch_Number","row_id","fluency_score","semantic","phonological","frequency"
"48","CAM-666","NH","moth",0,"multimodaldelta_alpha=0.8_rise=1.0_fall=1.0","animals","50","blended","0.0","multimodaldelta","alpha=0.8","rise=1.0","fall=1.0","multimodaldelta_alpha=0.8_rise=1.0_fall=1.0",9,"Within Cluster Transition",NA,21,25,0.619892146848802,1e-04,3.5
"49","CAM-666","NH","gorilla",1,"multimodaldelta_alpha=0.8_rise=1.0_fall=1.0","animals","50","blended","0.0","multimodaldelta","alpha=0.8","rise=1.0","fall=1.0","multimodaldelta_alpha=0.8_rise=1.0_fall=1.0",10,"Switch Trial",9,22,25,0.475295146278666,1e-04,3.62
"50","CAM-666","NH","monkey",1,"multimodaldelta_alpha=0.8_rise=1.0_fall=1.0","animals","50","blended","0.0","multimodaldelta","alpha=0.8","rise=1.0","fall=1.0","multimodaldelta_alpha=0.8_rise=1.0_fall=1.0",11,"Switch Trial",10,23,25,0.474747623392771,1e-04,4.07
"51","CAM-666","NH","horse",1,"multimodaldelta_alpha=0.8_rise=1.0_fall=1.0","animals","50","blended","0.0","multimodaldelta","alpha=0.8","rise=1.0","fall=1.0","multimodaldelta_alpha=0.8_rise=1.0_fall=1.0",12,"Switch Trial",11,24,25,0.531762072179602,1e-04,4.76
"52","CBM-702","NH","dolphin",1,"multimodaldelta_alpha=0.8_rise=0.8_fall=1.0","animals","50","blended","0.0","multimodaldelta","alpha=0.8","rise=0.8","fall=1.0","multimodaldelta_alpha=0.8_rise=0.8_fall=1.0",2,"Switch Trial",1,1,26,0.47563015287158,1e-04,3.67
"53","CBM-702","NH","lion",0,"multimodaldelta_alpha=0.8_rise=0.8_fall=1.0","animals","50","blended","0.0","multimodaldelta","alpha=0.8","rise=0.8","fall=1.0","multimodaldelta_alpha=0.8_rise=0.8_fall=1.0",2,"Within Cluster Transition",NA,2,26,0.626035217428115,0.5,4.25
"54","CBM-702","NH","penguin",1,"multimodaldelta_alpha=0.8_rise=0.8_fall=1.0","animals","50","blended","0.0","multimodaldelta","alpha=0.8","rise=0.8","fall=1.0","multimodaldelta_alpha=0.8_rise=0.8_fall=1.0",3,"Switch Trial",2,3,26,0.423218880496028,0.2857,3.78
"55","CBM-702","NH","stork",1,"multimodaldelta_alpha=0.8_rise=0.8_fall=1.0","animals","50","blended","0.0","multimodaldelta","alpha=0.8","rise=0.8","fall=1.0","multimodaldelta_alpha=0.8_rise=0.8_fall=1.0",4,"Switch Trial",3,4,26,0.33522161042723,1e-04,2.88
"56","CBM-702","NH","gull",0,"multimodaldelta_alpha=0.8_rise=0.8_fall=1.0","animals","50","blended","0.0","multimodaldelta","alpha=0.8","rise=0.8","fall=1.0","multimodaldelta_alpha=0.8_rise=0.8_fall=1.0",4,"Within Cluster Transition",NA,5,26,0.531761199572975,1e-04,3
"57","CBM-702","NH","pigeon",0,"multimodaldelta_alpha=0.8_rise=0.8_fall=1.0","animals","50","blended","0.0","multimodaldelta","alpha=0.8","rise=0.8","fall=1.0","multimodaldelta_alpha=0.8_rise=0.8_fall=1.0",4,"Within Cluster Transition",NA,6,26,0.573154144428201,1e-04,3.61
"58","CBM-702","NH","woodpecker",0,"multimodaldelta_alpha=0.8_rise=0.8_fall=1.0","animals","50","blended","0.0","multimodaldelta","alpha=0.8","rise=0.8","fall=1.0","multimodaldelta_alpha=0.8_rise=0.8_fall=1.0",4,"Within Cluster Transition",NA,7,26,0.771063001805994,1e-04,2.82
"59","CBM-702","NH","lizard",0,"multimodaldelta_alpha=0.8_rise=0.8_fall=1.0","animals","50","blended","0.0","multimodaldelta","alpha=0.8","rise=0.8","fall=1.0","multimodaldelta_alpha=0.8_rise=0.8_fall=1.0",4,"Within Cluster Transition",NA,8,26,0.68151917418322,1e-04,3.63
"60","CBM-702","NH","snake",0,"multimodaldelta_alpha=0.8_rise=0.8_fall=1.0","animals","50","blended","0.0","multimodaldelta","alpha=0.8","rise=0.8","fall=1.0","multimodaldelta_alpha=0.8_rise=0.8_fall=1.0",4,"Within Cluster Transition",NA,9,26,0.806986563144054,1e-04,4.23
"61","CBM-702","NH","snail",0,"multimodaldelta_alpha=0.8_rise=0.8_fall=1.0","animals","50","blended","0.0","multimodaldelta","alpha=0.8","rise=0.8","fall=1.0","multimodaldelta_alpha=0.8_rise=0.8_fall=1.0",4,"Within Cluster Transition",NA,10,26,0.690514121029688,0.75,3.67
"62","CBM-702","NH","goldfish",1,"multimodaldelta_alpha=0.8_rise=0.8_fall=1.0","animals","50","blended","0.0","multimodaldelta","alpha=0.8","rise=0.8","fall=1.0","multimodaldelta_alpha=0.8_rise=0.8_fall=1.0",5,"Switch Trial",4,11,26,0.696414623494194,1e-04,3.28
"63","CBM-702","NH","fish",0,"multimodaldelta_alpha=0.8_rise=0.8_fall=1.0","animals","50","blended","0.0","multimodaldelta","alpha=0.8","rise=0.8","fall=1.0","multimodaldelta_alpha=0.8_rise=0.8_fall=1.0",5,"Within Cluster Transition",NA,12,26,0.769559301320849,0.2857,4.9
"64","CBM-702","NH","dog",1,"multimodaldelta_alpha=0.8_rise=0.8_fall=1.0","animals","50","blended","0.0","multimodaldelta","alpha=0.8","rise=0.8","fall=1.0","multimodaldelta_alpha=0.8_rise=0.8_fall=1.0",6,"Switch Trial",5,13,26,0.554071626308839,1e-04,5.1
"65","CBM-702","NH","cat",0,"multimodaldelta_alpha=0.8_rise=0.8_fall=1.0","animals","50","blended","0.0","multimodaldelta","alpha=0.8","rise=0.8","fall=1.0","multimodaldelta_alpha=0.8_rise=0.8_fall=1.0",6,"Within Cluster Transition",NA,14,26,0.87457859760686,1e-04,4.78
"66","CBM-702","NH","mouse",0,"multimodaldelta_alpha=0.8_rise=0.8_fall=1.0","animals","50","blended","0.0","multimodaldelta","alpha=0.8","rise=0.8","fall=1.0","multimodaldelta_alpha=0.8_rise=0.8_fall=1.0",6,"Within Cluster Transition",NA,15,26,0.799642646273783,0.3333,4.31
"67","CBM-702","NH","snake",0,"multimodaldelta_alpha=0.8_rise=0.8_fall=1.0","animals","50","blended","0.0","multimodaldelta","alpha=0.8","rise=0.8","fall=1.0","multimodaldelta_alpha=0.8_rise=0.8_fall=1.0",6,"Within Cluster Transition",NA,16,26,0.755496254395551,1e-04,4.23
"68","CBM-702","NH","mouse",0,"multimodaldelta_alpha=0.8_rise=0.8_fall=1.0","animals","50","blended","0.0","multimodaldelta","alpha=0.8","rise=0.8","fall=1.0","multimodaldelta_alpha=0.8_rise=0.8_fall=1.0",6,"Within Cluster Transition",NA,17,26,0.755496254395551,1e-04,4.31
"69","CBM-702","NH","rabbit",0,"multimodaldelta_alpha=0.8_rise=0.8_fall=1.0","animals","50","blended","0.0","multimodaldelta","alpha=0.8","rise=0.8","fall=1.0","multimodaldelta_alpha=0.8_rise=0.8_fall=1.0",6,"Within Cluster Transition",NA,18,26,0.811854540708661,0.3333,4.05
"70","CBM-702","NH","reptile",1,"multimodaldelta_alpha=0.8_rise=0.8_fall=1.0","animals","50","blended","0.0","multimodaldelta","alpha=0.8","rise=0.8","fall=1.0","multimodaldelta_alpha=0.8_rise=0.8_fall=1.0",7,"Switch Trial",6,19,26,0.546982075341534,0.1667,3.25
"71","CBM-702","NH","polar",1,"multimodaldelta_alpha=0.8_rise=0.8_fall=1.0","animals","50","blended","0.0","multimodaldelta","alpha=0.8","rise=0.8","fall=1.0","multimodaldelta_alpha=0.8_rise=0.8_fall=1.0",8,"Switch Trial",7,20,26,0.384195660312049,0.1667,3.96
"72","CBM-702","NH","grizzly",1,"multimodaldelta_alpha=0.8_rise=0.8_fall=1.0","animals","50","blended","0.0","multimodaldelta","alpha=0.8","rise=0.8","fall=1.0","multimodaldelta_alpha=0.8_rise=0.8_fall=1.0",9,"Switch Trial",8,21,26,0.324115131056637,0.1667,3.28
"73","CBM-702","NH","bear",1,"multimodaldelta_alpha=0.8_rise=0.8_fall=1.0","animals","50","blended","0.0","multimodaldelta","alpha=0.8","rise=0.8","fall=1.0","multimodaldelta_alpha=0.8_rise=0.8_fall=1.0",10,"Switch Trial",9,22,26,0.487242598472939,1e-04,4.71
"74","CBM-702","NH","hedgehog",1,"multimodaldelta_alpha=0.8_rise=0.8_fall=1.0","animals","50","blended","0.0","multimodaldelta","alpha=0.8","rise=0.8","fall=1.0","multimodaldelta_alpha=0.8_rise=0.8_fall=1.0",11,"Switch Trial",10,23,26,0.524772641095027,1e-04,3.25
"75","CBM-702","NH","porcupine",1,"multimodaldelta_alpha=0.8_rise=0.8_fall=1.0","animals","50","blended","0.0","multimodaldelta","alpha=0.8","rise=0.8","fall=1.0","multimodaldelta_alpha=0.8_rise=0.8_fall=1.0",12,"Switch Trial",11,24,26,0.547026552074543,1e-04,2.88
"76","CBM-702","NH","fossil",0,"multimodaldelta_alpha=0.8_rise=0.8_fall=1.0","animals","50","blended","0.0","multimodaldelta","alpha=0.8","rise=0.8","fall=1.0","multimodaldelta_alpha=0.8_rise=0.8_fall=1.0",12,"Within Cluster Transition",NA,25,26,0.654433027467883,0.1111,3.99
"77","CCC-721","NH","cat",0,"multimodaldelta_alpha=0.9_rise=0.8_fall=0.5","animals","50","blended","0.0","multimodaldelta","alpha=0.9","rise=0.8","fall=0.5","multimodaldelta_alpha=0.9_rise=0.8_fall=0.5",1,"Within Cluster Transition",NA,1,15,0.87457859760686,1e-04,4.78
"78","CCC-721","NH","lion",1,"multimodaldelta_alpha=0.9_rise=0.8_fall=0.5","animals","50","blended","0.0","multimodaldelta","alpha=0.9","rise=0.8","fall=0.5","multimodaldelta_alpha=0.9_rise=0.8_fall=0.5",2,"Switch Trial",1,2,15,0.68090571619821,1e-04,4.25
"79","CCC-721","NH","tiger",0,"multimodaldelta_alpha=0.9_rise=0.8_fall=0.5","animals","50","blended","0.0","multimodaldelta","alpha=0.9","rise=0.8","fall=0.5","multimodaldelta_alpha=0.9_rise=0.8_fall=0.5",2,"Within Cluster Transition",NA,3,15,0.837817729427836,0.25,4.3
"80","CCC-721","NH","zebra",1,"multimodaldelta_alpha=0.9_rise=0.8_fall=0.5","animals","50","blended","0.0","multimodaldelta","alpha=0.9","rise=0.8","fall=0.5","multimodaldelta_alpha=0.9_rise=0.8_fall=0.5",3,"Switch Trial",2,4,15,0.616168779456809,1e-04,3.4
"81","CCC-721","NH","chicken",1,"multimodaldelta_alpha=0.9_rise=0.8_fall=0.5","animals","50","blended","0.0","multimodaldelta","alpha=0.9","rise=0.8","fall=0.5","multimodaldelta_alpha=0.9_rise=0.8_fall=0.5",4,"Switch Trial",3,5,15,0.429239705802289,1e-04,4.63
"82","CCC-721","NH","fish",0,"multimodaldelta_alpha=0.9_rise=0.8_fall=0.5","animals","50","blended","0.0","multimodaldelta","alpha=0.9","rise=0.8","fall=0.5","multimodaldelta_alpha=0.9_rise=0.8_fall=0.5",4,"Within Cluster Transition",NA,6,15,0.626368896641665,1e-04,4.9
"83","CCC-721","NH","zebra",1,"multimodaldelta_alpha=0.9_rise=0.8_fall=0.5","animals","50","blended","0.0","multimodaldelta","alpha=0.9","rise=0.8","fall=0.5","multimodaldelta_alpha=0.9_rise=0.8_fall=0.5",5,"Switch Trial",4,7,15,0.530938728007721,1e-04,3.4
"84","CCC-721","NH","wolf",1,"multimodaldelta_alpha=0.9_rise=0.8_fall=0.5","animals","50","blended","0.0","multimodaldelta","alpha=0.9","rise=0.8","fall=0.5","multimodaldelta_alpha=0.9_rise=0.8_fall=0.5",6,"Switch Trial",5,8,15,0.573446664261308,0.25,4.35
